Date,open,high,low,close,adjclose,volume,ingested_at_utc
2019-07-24,47100.0,47150.0,46250.0,46400.0,39362.82421875,8756522,2026-02-10 07:00:06.786111+00:00
2019-07-25,47150.0,47200.0,46600.0,47200.0,40041.4921875,8408838,2026-02-10 07:00:06.786111+00:00
2019-07-26,46650.0,47150.0,46550.0,47150.0,39999.078125,7873886,2026-02-10 07:00:06.786111+00:00
2019-07-29,46800.0,47050.0,46000.0,46100.0,39108.31640625,6856846,2026-02-10 07:00:06.786111+00:00
2019-07-30,46300.0,46850.0,46300.0,46550.0,39490.08203125,5551014,2026-02-10 07:00:06.786111+00:00
2019-07-31,46200.0,46600.0,45000.0,45350.0,38472.0625,12872916,2026-02-10 07:00:06.786111+00:00
2019-08-01,44900.0,45500.0,44850.0,45200.0,38344.82421875,7811181,2026-02-10 07:00:06.786111+00:00
2019-08-02,44550.0,45500.0,44300.0,44950.0,38132.7421875,12151374,2026-02-10 07:00:06.786111+00:00
2019-08-05,44350.0,44600.0,43600.0,43950.0,37284.3984375,14214086,2026-02-10 07:00:06.786111+00:00
2019-08-06,42500.0,43800.0,42500.0,43500.0,36902.6484375,15083824,2026-02-10 07:00:06.786111+00:00
2019-08-07,43600.0,43900.0,43100.0,43200.0,36648.14453125,10002533,2026-02-10 07:00:06.786111+00:00
2019-08-08,43250.0,43500.0,42650.0,42650.0,36181.56640625,16926881,2026-02-10 07:00:06.786111+00:00
2019-08-09,43250.0,43350.0,43050.0,43150.0,36605.73046875,9685147,2026-02-10 07:00:06.786111+00:00
2019-08-12,44000.0,44000.0,43550.0,43700.0,37072.31640625,8466169,2026-02-10 07:00:06.786111+00:00
2019-08-13,43500.0,43500.0,42950.0,43000.0,36478.4921875,7276979,2026-02-10 07:00:06.786111+00:00
2019-08-14,43900.0,44250.0,43500.0,43700.0,37072.31640625,8750135,2026-02-10 07:00:06.786111+00:00
2019-08-16,43800.0,43900.0,43300.0,43900.0,37241.9921875,9528115,2026-02-10 07:00:06.786111+00:00
2019-08-19,44350.0,44350.0,43500.0,43600.0,36987.48046875,6014218,2026-02-10 07:00:06.786111+00:00
2019-08-20,43950.0,44600.0,43550.0,44450.0,37708.5703125,8434205,2026-02-10 07:00:06.786111+00:00
2019-08-21,44350.0,44800.0,44150.0,44500.0,37750.98828125,6571717,2026-02-10 07:00:06.786111+00:00
2019-08-22,44500.0,44700.0,43850.0,44050.0,37369.22265625,8061177,2026-02-10 07:00:06.786111+00:00
2019-08-23,43800.0,44200.0,43650.0,43950.0,37284.3984375,5017381,2026-02-10 07:00:06.786111+00:00
2019-08-26,43050.0,43800.0,42950.0,43600.0,36987.48046875,7954949,2026-02-10 07:00:06.786111+00:00
2019-08-27,43650.0,44200.0,43600.0,44050.0,37369.22265625,16883932,2026-02-10 07:00:06.786111+00:00
2019-08-28,44100.0,44400.0,43750.0,44150.0,37454.0703125,5758333,2026-02-10 07:00:06.786111+00:00
2019-08-29,44200.0,44200.0,43050.0,43400.0,36817.81640625,10768862,2026-02-10 07:00:06.786111+00:00
2019-08-30,43750.0,44300.0,43750.0,44000.0,37326.81640625,9899073,2026-02-10 07:00:06.786111+00:00
2019-09-02,44850.0,44850.0,43650.0,43800.0,37157.1484375,7185537,2026-02-10 07:00:06.786111+00:00
2019-09-03,43550.0,43650.0,43100.0,43250.0,36690.55859375,9774941,2026-02-10 07:00:06.786111+00:00
2019-09-04,43250.0,44100.0,43150.0,44100.0,37411.65234375,12441837,2026-02-10 07:00:06.786111+00:00
2019-09-05,44800.0,46100.0,44450.0,45700.0,38768.9765625,18297430,2026-02-10 07:00:06.786111+00:00
2019-09-06,46500.0,46500.0,45850.0,46300.0,39277.98828125,9896562,2026-02-10 07:00:06.786111+00:00
2019-09-09,46450.0,47000.0,46300.0,46900.0,39786.99609375,9434157,2026-02-10 07:00:06.786111+00:00
2019-09-10,47100.0,47200.0,46550.0,47000.0,39871.83203125,9231792,2026-02-10 07:00:06.786111+00:00
2019-09-11,47300.0,47400.0,46800.0,47150.0,39999.078125,16141619,2026-02-10 07:00:06.786111+00:00
2019-09-16,47000.0,47100.0,46400.0,47100.0,39956.65625,15550926,2026-02-10 07:00:06.786111+00:00
2019-09-17,47000.0,47100.0,46800.0,46900.0,39786.99609375,7006280,2026-02-10 07:00:06.786111+00:00
2019-09-18,46900.0,47700.0,46800.0,47700.0,40465.66796875,10413027,2026-02-10 07:00:06.786111+00:00
2019-09-19,48050.0,49200.0,47850.0,49150.0,41695.75390625,16461413,2026-02-10 07:00:06.786111+00:00
2019-09-20,49400.0,49600.0,49100.0,49200.0,41738.171875,15460210,2026-02-10 07:00:06.786111+00:00
2019-09-23,49250.0,49300.0,49000.0,49300.0,41823.00390625,7568553,2026-02-10 07:00:06.786111+00:00
2019-09-24,49050.0,49650.0,48850.0,49500.0,41992.67578125,7871955,2026-02-10 07:00:06.786111+00:00
2019-09-25,49200.0,49350.0,48800.0,48900.0,41483.67578125,9187141,2026-02-10 07:00:06.786111+00:00
2019-09-26,49000.0,49250.0,48900.0,49200.0,41738.171875,8494756,2026-02-10 07:00:06.786111+00:00
2019-09-27,48000.0,48700.0,48000.0,48400.0,41357.0703125,8048041,2026-02-10 07:00:06.786111+00:00
2019-09-30,48050.0,49250.0,47900.0,49050.0,41912.484375,9497119,2026-02-10 07:00:06.786111+00:00
2019-10-01,48900.0,49100.0,48650.0,48850.0,41741.58984375,6206035,2026-02-10 07:00:06.786111+00:00
2019-10-02,48350.0,48400.0,47600.0,47600.0,40673.48046875,8382463,2026-02-10 07:00:06.786111+00:00
2019-10-04,47400.0,48650.0,47350.0,48000.0,41015.27734375,9331695,2026-02-10 07:00:06.786111+00:00
2019-10-07,48350.0,48700.0,47650.0,47750.0,40801.65625,7047273,2026-02-10 07:00:06.786111+00:00
2019-10-08,47900.0,49000.0,47600.0,48900.0,41784.3125,14239367,2026-02-10 07:00:06.786111+00:00
2019-10-10,48200.0,49200.0,48000.0,48550.0,41485.2421875,18639855,2026-02-10 07:00:06.786111+00:00
2019-10-11,49000.0,49450.0,48800.0,49150.0,41997.9375,7783275,2026-02-10 07:00:06.786111+00:00
2019-10-14,50000.0,50300.0,49850.0,50000.0,42724.23828125,11130635,2026-02-10 07:00:06.786111+00:00
2019-10-15,49900.0,50200.0,49900.0,50100.0,42809.68359375,6058105,2026-02-10 07:00:06.786111+00:00
2019-10-16,50700.0,50900.0,50400.0,50700.0,43322.3828125,9136282,2026-02-10 07:00:06.786111+00:00
2019-10-17,50500.0,50600.0,50100.0,50500.0,43151.4921875,6701380,2026-02-10 07:00:06.786111+00:00
2019-10-18,50300.0,50900.0,49650.0,49900.0,42638.78515625,8483106,2026-02-10 07:00:06.786111+00:00
2019-10-21,49900.0,50400.0,49800.0,50300.0,42980.5859375,4406531,2026-02-10 07:00:06.786111+00:00
2019-10-22,50800.0,51500.0,50700.0,51200.0,43749.625,10898729,2026-02-10 07:00:06.786111+00:00
2019-10-23,51300.0,51500.0,50800.0,51200.0,43749.625,8663880,2026-02-10 07:00:06.786111+00:00
2019-10-24,52500.0,52500.0,50500.0,50700.0,43322.3828125,21185785,2026-02-10 07:00:06.786111+00:00
2019-10-25,50800.0,51200.0,50500.0,50900.0,43493.28515625,7879897,2026-02-10 07:00:06.786111+00:00
2019-10-28,50700.0,51500.0,50700.0,51300.0,43835.0703125,6431522,2026-02-10 07:00:06.786111+00:00
2019-10-29,51400.0,51700.0,50800.0,51100.0,43664.17578125,7581629,2026-02-10 07:00:06.786111+00:00
2019-10-30,50700.0,50800.0,50200.0,50400.0,43066.04296875,8959435,2026-02-10 07:00:06.786111+00:00
2019-10-31,51000.0,51400.0,50300.0,50400.0,43066.04296875,10304777,2026-02-10 07:00:06.786111+00:00
2019-11-01,50600.0,51200.0,50400.0,51200.0,43749.625,8467846,2026-02-10 07:00:06.786111+00:00
2019-11-04,51700.0,52300.0,51400.0,52300.0,44689.56640625,13012411,2026-02-10 07:00:06.786111+00:00
2019-11-05,52400.0,52700.0,52100.0,52700.0,45031.359375,10581034,2026-02-10 07:00:06.786111+00:00
2019-11-06,52900.0,53500.0,52700.0,53300.0,45544.04296875,14361133,2026-02-10 07:00:06.786111+00:00
2019-11-07,53400.0,53400.0,52400.0,52900.0,45202.25,9257116,2026-02-10 07:00:06.786111+00:00
2019-11-08,53200.0,53300.0,52000.0,52100.0,44518.66796875,11603290,2026-02-10 07:00:06.786111+00:00
2019-11-11,52200.0,52200.0,51400.0,51600.0,44091.42578125,8185952,2026-02-10 07:00:06.786111+00:00
2019-11-12,51800.0,52600.0,51600.0,52600.0,44945.8984375,6576148,2026-02-10 07:00:06.786111+00:00
2019-11-13,52500.0,52500.0,52000.0,52500.0,44860.4609375,6225196,2026-02-10 07:00:06.786111+00:00
2019-11-14,51900.0,52800.0,51900.0,52800.0,45116.80078125,12010018,2026-02-10 07:00:06.786111+00:00
2019-11-15,52900.0,53700.0,52600.0,53700.0,45885.83203125,9703360,2026-02-10 07:00:06.786111+00:00
2019-11-18,53600.0,53800.0,53200.0,53500.0,45714.94140625,7746554,2026-02-10 07:00:06.786111+00:00
2019-11-19,53200.0,53500.0,52700.0,53500.0,45714.94140625,8907177,2026-02-10 07:00:06.786111+00:00
2019-11-20,53400.0,53400.0,52000.0,52000.0,44433.2109375,12560070,2026-02-10 07:00:06.786111+00:00
2019-11-21,51600.0,52100.0,50600.0,51000.0,43578.71484375,14298646,2026-02-10 07:00:06.786111+00:00
2019-11-22,51000.0,51600.0,50900.0,51600.0,44091.42578125,8478310,2026-02-10 07:00:06.786111+00:00
2019-11-25,52200.0,52600.0,51700.0,51800.0,44262.3125,9050625,2026-02-10 07:00:06.786111+00:00
2019-11-26,51900.0,52900.0,51800.0,51800.0,44262.3125,27372226,2026-02-10 07:00:06.786111+00:00
2019-11-27,51800.0,52300.0,51600.0,52200.0,44604.1015625,7546261,2026-02-10 07:00:06.786111+00:00
2019-11-28,51900.0,52100.0,51300.0,51300.0,43835.0703125,6833885,2026-02-10 07:00:06.786111+00:00
2019-11-29,51200.0,51400.0,50200.0,50300.0,42980.5859375,11179334,2026-02-10 07:00:06.786111+00:00
2019-12-02,50900.0,51300.0,50400.0,50400.0,43066.04296875,18877252,2026-02-10 07:00:06.786111+00:00
2019-12-03,49800.0,50300.0,49500.0,49900.0,42638.78515625,12059812,2026-02-10 07:00:06.786111+00:00
2019-12-04,49600.0,49850.0,49000.0,49450.0,42254.2734375,13246549,2026-02-10 07:00:06.786111+00:00
2019-12-05,50200.0,50400.0,49500.0,49500.0,42297.0078125,10449715,2026-02-10 07:00:06.786111+00:00
2019-12-06,50100.0,50900.0,49950.0,50400.0,43066.04296875,11414563,2026-02-10 07:00:06.786111+00:00
2019-12-09,50900.0,51400.0,50700.0,51200.0,43749.625,8470627,2026-02-10 07:00:06.786111+00:00
2019-12-10,51000.0,51600.0,50700.0,51500.0,44005.96875,6882771,2026-02-10 07:00:06.786111+00:00
2019-12-11,51500.0,52200.0,51400.0,51900.0,44347.7578125,11379521,2026-02-10 07:00:06.786111+00:00
2019-12-12,53000.0,53300.0,52700.0,53300.0,45544.04296875,29178697,2026-02-10 07:00:06.786111+00:00
2019-12-13,54500.0,54800.0,53900.0,54700.0,46740.32421875,18120261,2026-02-10 07:00:06.786111+00:00
2019-12-16,54500.0,54900.0,54300.0,54700.0,46740.32421875,11512405,2026-02-10 07:00:06.786111+00:00
2019-12-17,55800.0,56700.0,55400.0,56700.0,48449.28515625,19358433,2026-02-10 07:00:06.786111+00:00
2019-12-18,56700.0,57200.0,56000.0,56300.0,48107.49609375,15558208,2026-02-10 07:00:06.786111+00:00
2019-12-19,57000.0,57300.0,55500.0,56000.0,47851.15625,14180520,2026-02-10 07:00:06.786111+00:00
